     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
 3.95063      nan
 3.50043      nan
 5.25359 -25.7961
 8.83265  -30.242
     nan -31.9597
     nan  -32.089
     nan -30.0569
     nan -27.4168
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
     nan      nan
 11.1779      nan
 14.6795      nan
 16.7956 -16.3153
 15.8886 -11.8653
     nan -8.84553
     nan -7.80478
     nan -8.77336
     nan -11.3413
     nan      nan
     nan      nan
     nan      nan
     nan      nan
