-52,20,-15,0.951056,0.0449555,0.0899109,-0.29221,
-49.7999,18.4259,-14.5769,0.956934,0.0202128,0.0991199,-0.272109,
-47.5997,16.8518,-14.1538,0.961726,-0.00455291,0.108216,-0.251699,
-45.3996,15.2777,-13.7306,0.965425,-0.0293134,0.11719,-0.231003,
-43.1994,13.7036,-13.3075,0.968028,-0.0540407,0.12603,-0.210044,
-40.9993,12.1295,-12.8844,0.969531,-0.0787065,0.134728,-0.188847,
-38.7992,10.5555,-12.4613,0.969934,-0.103283,0.143272,-0.167436,
-36.599,8.98137,-12.0382,0.969234,-0.127742,0.151654,-0.145834,
-34.3989,7.40728,-11.615,0.967435,-0.152056,0.159863,-0.124067,
-32.1987,5.83319,-11.1919,0.964536,-0.176198,0.167891,-0.102159,
-29.9986,4.2591,-10.7688,0.960543,-0.200139,0.175728,-0.0801348,
-27.7985,2.68501,-10.3457,0.955458,-0.223853,0.183366,-0.0580197,
-25.5983,1.11092,-9.92256,0.949289,-0.247313,0.190795,-0.0358387,
-23.3982,-0.463174,-9.49944,0.942041,-0.270492,0.198008,-0.0136171,
-21.1981,-2.03726,-9.07632,0.933724,-0.293364,0.204996,0.00862008,
-18.9979,-3.61135,-8.6532,0.924346,-0.315903,0.211751,0.0308474,
-16.7978,-5.18544,-8.23008,0.913919,-0.338082,0.218266,0.0530397,
-15.9881,-6.85205,-6.35422,0.92165,-0.27879,0.268231,-0.029822,
-15.1784,-8.51866,-4.47837,0.917457,-0.215891,0.314727,-0.112298,
-14.3687,-10.1853,-2.60251,0.901394,-0.150198,0.35715,-0.193321,
-13.559,-11.8519,-0.726657,0.873669,-0.0825627,0.394953,-0.271843,
-12.7493,-13.5185,1.1492,0.83464,-0.0138588,0.427646,-0.346847,
-11.9396,-15.1851,3.02505,0.784813,0.0550245,0.454806,-0.417365,
-11.1299,-16.8517,4.90091,0.724832,0.123196,0.476081,-0.482482,
-10.3201,-18.5183,6.77676,0.655473,0.189773,0.491197,-0.541357,
-9.51044,-20.1849,8.65262,0.577633,0.253895,0.499958,-0.593228,
-7.21056,-19.0378,9.25455,0.532499,0.222115,0.482644,-0.658912,
-4.91069,-17.8906,9.85648,0.483285,0.188634,0.461631,-0.719548,
-2.61081,-16.7435,10.4584,0.430368,0.153707,0.437083,-0.774672,
-0.310926,-15.5963,11.0603,0.374155,0.117602,0.409185,-0.82386,
1.98895,-14.4492,11.6623,0.315075,0.0805965,0.378153,-0.866737,
4.28883,-13.3021,12.2642,0.253581,0.0429736,0.344223,-0.902973,
6.58871,-12.1549,12.8661,0.190144,0.00502135,0.307657,-0.932291,
8.88859,-11.0078,13.4681,0.12525,-0.0329693,0.268733,-0.954467,
11.1885,-9.86066,14.07,0.0593973,-0.0707074,0.22775,-0.969331,
13.4884,-8.71352,14.6719,-0.00691081,-0.107904,0.185023,-0.976768,
15.7882,-7.56638,15.2738,0.073166,0.144274,-0.140878,0.976722,
18.5529,-8.83404,14.6987,0.0658972,0.113788,-0.113826,0.984761,
21.3176,-10.1017,14.1235,0.0585111,0.0830991,-0.0865724,0.991048,
24.0824,-11.3693,13.5483,0.051021,0.0522629,-0.0591643,0.995573,
26.8741,-12.2324,13.1935,-0.069454,0.0557847,-0.115824,0.989267,
29.6659,-13.0955,12.8386,-0.188694,0.0583149,-0.170425,0.965375,
32.4576,-13.9585,12.4838,-0.30458,0.0598084,-0.221997,0.924322,
35.2494,-14.8216,12.129,-0.415052,0.0602387,-0.269622,0.866838,
38.0412,-15.6847,11.7741,-0.518145,0.0595982,-0.312454,0.793943,
40.8329,-16.5477,11.4193,-0.612027,0.0578982,-0.349732,0.706936,
43.6247,-17.4108,11.0645,-0.69503,0.0551689,-0.380792,0.607361,
46.4165,-18.2739,10.7097,-0.765677,0.051459,-0.405084,0.496989,
49.2082,-19.1369,10.3548,-0.822713,0.0468342,-0.422174,0.377782,
52,-20,10,0.865123,-0.0413769,0.431759,-0.25186,
