-61.6,-61.6,-41.6,-27.9803,-14.3607
-61.6,-61.6,14.9909,28.2955,41.6
-61.6,-55.1158,-41.6,-27.992,-14.3841
-61.6,-55.1158,15.008,28.304,41.6
-61.6,-48.6316,-41.6,-27.9946,-14.3893
-61.6,-48.6316,15.01,28.305,41.6
-61.6,-42.1474,-41.6,-27.9972,-14.3944
-61.6,-42.1474,15.0112,28.3056,41.6
-61.6,-35.6632,-41.6,-27.9998,-14.3996
-61.6,-35.6632,15.006,28.303,41.6
-61.6,-29.1789,-41.6,-28.0024,-14.4048
-61.6,-29.1789,15.0008,28.3004,41.6
-61.6,-22.6947,-41.6,-28.005,-14.4099
-61.6,-22.6947,14.9957,28.2978,41.6
-61.6,-16.2105,-41.6,-28.0075,-14.4151
-61.6,-16.2105,14.9905,28.2953,41.6
-61.6,-9.72632,-41.6,-28.0101,-14.4203
-61.6,-9.72632,14.9853,28.2927,41.6
-61.6,-3.24211,-41.6,-28.0127,-14.4254
-61.6,-3.24211,14.9802,28.2901,41.6
-61.6,3.24211,-41.6,-28.0153,-14.4306
-61.6,3.24211,14.975,28.2875,32.861
-61.6,3.24211,32.861,32.861,41.6
-61.6,9.72632,-41.6,-28.0179,-14.4358
-61.6,9.72632,32.861,37.2305,41.6
-61.6,16.2105,32.9927,37.2964,41.6
-61.6,22.6947,32.9936,37.2968,41.6
-61.6,29.1789,32.9938,37.2969,41.6
-61.6,35.6632,14.9492,15.3396,15.73
-61.6,35.6632,32.992,37.296,41.6
-61.6,42.1474,-41.6,-28.0294,-14.4588
-61.6,42.1474,14.944,15.73,15.73
-61.6,42.1474,15.73,15.8121,16.6801
-61.6,42.1474,32.0608,36.8304,41.6
-61.6,48.6316,-41.6,-28.0228,-14.4455
-61.6,48.6316,14.9388,16.6801,16.6801
-61.6,48.6316,16.6801,28.2694,32.0608
-61.6,48.6316,32.0608,32.0608,41.6
-61.6,55.1158,-41.6,-27.9851,-14.3703
-61.6,55.1158,14.9265,28.2633,41.6
-61.6,61.6,-41.6,-27.7392,-13.8783
-61.6,61.6,14.8992,28.2496,41.6
-55.1158,-61.6,-41.6,-28.0077,-14.4154
-55.1158,-61.6,14.9924,28.2962,41.6
-55.1158,-55.1158,-41.6,-28.0181,-14.4361
