55,15,54
46,23,45
153,217,218
233,294,232
2,70,71
293,234,235
195,173,194
211,158,159
144,85,143
133,97,98
300,1,72
67,5,66
30,38,29
38,30,37
280,250,279
280,249,250
53,16,52
26,27,42
67,68,4
189,190,177
166,167,201
165,166,202
163,205,206
206,207,162
159,210,211
151,220,221
173,174,194
180,181,186
181,185,186
203,165,202
202,166,201
168,199,200
172,195,196
212,158,211
159,160,209
160,208,209
220,152,219
149,77,148
147,148,79
146,147,80
128,103,127
128,102,103
132,99,131
141,88,140
134,95,96
132,133,98
110,121,122
91,138,139
13,57,12
55,14,15
87,141,142
224,225,75
65,6,64
64,7,63
48,49,20
46,47,22
40,27,28
37,31,36
32,36,31
28,29,39
36,32,35
17,18,51
55,56,14
295,232,294
62,63,8
296,231,295
243,285,286
290,239,289
13,56,57
60,61,10
229,296,297
292,235,236
239,240,289
245,246,284
251,278,279
252,278,251
253,276,277
253,277,252
195,172,173
171,197,170
197,198,170
190,191,177
191,176,177
192,176,191
193,175,192
198,169,170
199,169,198
203,204,165
204,164,165
205,164,204
206,162,163
208,161,207
218,219,153
152,220,151
151,221,222
150,222,223
150,223,224
150,75,149
75,225,74
215,155,214
216,154,155
217,153,154
210,159,209
212,157,158
213,157,212
214,156,213
180,186,187
185,181,182
184,182,183
185,182,184
187,179,180
188,179,187
189,178,188
176,192,175
178,189,177
179,188,178
171,196,197
172,196,171
174,193,194
175,193,174
157,213,156
161,208,160
162,207,161
164,205,163
167,200,201
168,200,167
169,199,168
154,216,217
155,215,216
156,214,155
151,222,150
153,219,152
148,78,79
146,82,145
145,82,83
144,145,83
143,86,142
140,89,90
139,140,90
138,92,137
137,92,93
130,101,129
129,101,102
128,129,102
136,94,135
135,95,134
134,97,133
131,100,130
126,105,125
125,106,124
124,107,123
123,108,109
122,123,109
121,111,120
120,112,119
118,113,114
113,119,112
112,120,111
119,113,118
118,114,117
117,114,115
116,117,115
93,136,137
92,138,91
91,139,90
89,140,88
88,141,87
87,142,86
86,143,85
80,147,79
78,148,77
77,149,76
85,144,84
84,144,83
82,146,81
81,146,80
97,134,96
95,135,94
94,136,93
104,126,127
101,130,100
100,131,99
99,132,98
111,121,110
110,122,109
108,123,107
107,124,106
106,125,105
105,126,104
104,127,103
47,48,21
45,24,44
44,25,43
43,26,42
42,27,41
41,27,40
40,28,39
51,18,50
50,18,19
49,50,19
58,11,12
54,15,53
53,15,16
52,17,51
228,298,227
70,3,69
69,3,68
76,149,75
75,150,224
74,300,73
73,300,72
66,6,65
63,7,8
62,9,61
61,9,10
60,10,59
59,11,58
58,12,57
30,31,37
33,34,35
39,29,38
32,33,35
25,26,43
24,25,44
23,24,45
22,23,46
21,22,47
20,21,48
19,20,49
59,10,11
62,8,9
64,6,7
16,17,52
56,13,14
66,5,6
67,4,5
68,3,4
70,2,3
71,72,1
71,1,2
300,299,1
300,74,299
230,231,296
226,227,298
225,298,299
289,240,288
291,236,237
293,235,292
233,293,294
281,249,280
282,248,281
247,248,282
247,282,283
244,245,284
244,284,285
241,242,287
274,256,273
275,254,255
277,278,252
259,271,272
259,272,258
272,257,258
273,257,272
261,270,260
267,268,263
265,266,264
266,267,264
267,263,264
268,262,263
269,262,268
240,241,288
241,287,288
242,286,287
236,291,292
237,290,291
238,290,237
239,290,238
225,299,74
226,298,225
228,297,298
229,297,228
230,296,229
232,295,231
234,293,233
243,286,242
244,285,243
246,283,284
247,283,246
249,281,248
251,279,250
253,254,276
259,260,271
260,270,271
261,269,270
262,269,261
254,275,276
255,274,275
256,274,255
257,273,256
